layer,head,entropy,entropy_norm,entropy_no_sink,sink_mass,n_sentences,diffusion_time
5,6,0.6649132940173149,0.23849110286682845,0.45499135680496694,0.36468184415251015,400,63
5,7,0.2881037903949618,0.09914112699218094,1.5008507396280766,0.9004215711355209,400,63
5,8,0.2520287146791816,0.08798204846680165,1.22639444693923,0.9134840930998326,400,63
5,9,1.6702432657033206,0.5695256286486984,2.195695881098509,0.5171190971881151,400,63
5,10,1.5321533672511578,0.526588364765048,1.4859787029772997,0.2484341777767986,400,63
5,11,0.7204562203586101,0.24869752138853074,1.7556545493006706,0.7965514127910137,400,63
6,0,0.7000263597816229,0.2286277843825519,1.2877616894245147,0.7416698000952602,400,63
6,1,0.6740811388939619,0.23010266767814755,1.1347435880452394,0.7382945112884045,400,63
6,2,1.3851810087263585,0.4639998957142234,2.3085619957745074,0.6388676085323095,400,63
6,3,0.39948160108178854,0.13323353553190828,1.9391895647346973,0.886823373734951,400,63
6,4,1.5639819106459618,0.5285740823671222,2.083289283066988,0.5228601104766131,400,63
6,5,1.0615481390804051,0.36131334856152536,1.5770577646791935,0.6541181513667107,400,63
6,6,0.7860388699918985,0.26926934860646723,1.8131234189867973,0.7884778280556202,400,63
6,7,0.6866512098163366,0.2216729580424726,1.8882932095229625,0.800180928260088,400,63
6,8,0.8646514971554279,0.3053014828637242,0.6392763864994049,0.2954409769177437,400,63
6,9,0.5578680005669594,0.20024792749434708,0.33580635402351616,0.2349458219110966,400,63
6,10,0.6504350221902132,0.21092359466478228,1.6264298713207246,0.7997512547671795,400,63
6,11,0.5505575806647539,0.17930172042921186,1.287841850668192,0.8070277687907219,400,63
7,0,0.6498472934961319,0.22742853313684464,0.8357695661485195,0.7315662445873022,400,63
7,1,1.2686765857040883,0.4430789204314351,1.5464248833060266,0.519815642349422,400,63
7,2,0.3911712132394314,0.14313064366579056,0.24340279299765824,0.803905990049243,400,63
7,3,0.5798714641109108,0.19212226340547203,1.7268457160890103,0.8368632587790489,400,63
7,4,0.29899198535829785,0.10531269110739232,1.6755945405364037,0.9103815971314907,400,63
7,5,0.3168326487764716,0.10864536974579096,1.9584622977674007,0.9085536390542984,400,63
7,6,0.7078519561886787,0.24170716285705565,2.28357316121459,0.8331149388104677,400,63
7,7,0.5510177381336689,0.18130834405310453,1.1550496262311936,0.7890268892794847,400,63
7,8,0.3105374729633331,0.10882911696098745,1.6699175345897674,0.9042273077368737,400,63
7,9,0.4562469770386815,0.14984331022948028,1.6204976819455623,0.8636606562137604,400,63
7,10,0.5458727728575468,0.19421523867174983,0.5289035093784332,0.6866223397105933,400,63
7,11,1.2526683551818132,0.4321675451844931,1.5104128868877889,0.5296376645565033,400,63
8,0,1.399490059837699,0.47815660677850247,2.142177677452564,0.616978722140193,400,63
8,1,0.27858769917860626,0.09536918661091477,0.8434312135726213,0.8606755313277245,400,63
8,2,1.014740552008152,0.34890566367655995,2.1662601508200168,0.7322419475764036,400,63
8,3,0.4791005525365472,0.1571575573924929,1.3397516809403895,0.8289863476157189,400,63
8,4,0.420129181034863,0.1433381930179894,1.6526119349896908,0.8752937288582325,400,63
8,5,0.711054892912507,0.23224051309749483,1.6335012835264207,0.7769985075294972,400,63
8,6,0.6147118424344807,0.21179151739459484,0.5833168634772301,0.50140540253371,400,63
8,7,0.8766035730391741,0.3011126698181033,1.0365280436724424,0.6193389911949635,400,63
8,8,0.3044681799598038,0.1019282934628427,1.6261071209609508,0.8953219874203205,400,63
8,9,0.42019295554608105,0.14022340048104526,1.7754866415262223,0.8765950201451779,400,63
8,10,0.5716370775178075,0.1944165413826704,1.7881667801737786,0.8431588877737523,400,63
8,11,0.5341290582716465,0.18811826836317777,1.9437300166487694,0.847734227180481,400,63
9,0,0.841921855211258,0.29556102722883226,1.5374333805590867,0.7340668868273497,400,63
9,1,0.9467799825966359,0.336725786998868,1.4265391947329045,0.6326477773487568,400,63
9,2,0.8386555653810501,0.2921134724095464,1.7375471866875887,0.7487280747294426,400,63
9,3,0.56252626250498,0.17976366492221132,1.3093834231048822,0.7681975319236517,400,63
9,4,0.5435021269321442,0.189031445030123,1.227580030411482,0.7927232966572046,400,63
9,5,0.6654319223761559,0.22670081127434968,2.0915649898350237,0.8383184987306594,400,63
9,6,0.36683478869497776,0.12694241642951964,1.3516842517256737,0.8965721943974495,400,63
9,7,0.6078886729478836,0.2120661174505949,1.9946640752255917,0.8411523325741291,400,63
9,8,0.5840734817460179,0.19804864265024663,1.5534645538032055,0.8234711884707212,400,63
9,9,0.49163769602775576,0.16908726843073965,1.2555645851790904,0.8481621697545052,400,63
9,10,0.11321403848007322,0.03838586903992109,0.9695329531654715,0.9180650524795055,400,63
9,11,0.45033181097358466,0.1601742952875793,1.7031952157616614,0.8594542805850506,400,63
10,0,0.6381663963198662,0.217445802600123,1.2549561335518957,0.7834861581772565,400,63
10,1,0.7369257643818855,0.25503350725397467,1.189121051877737,0.698001750856638,400,63
10,2,0.9714344049245119,0.33918595898896453,1.4471070303022862,0.649398939087987,400,63
10,3,1.0715297312662004,0.36779595822095873,1.5771908029913901,0.6342061494290828,400,63
10,4,1.6178812120854855,0.5655888972058892,1.8330035462975502,0.3686476801335812,400,63
10,5,0.1479882128877216,0.04781142643521889,1.5775475209951402,0.9100899800658226,400,63
10,6,0.7544701571576298,0.2584807543177158,1.3114255175366998,0.7215531732141972,400,63
10,7,0.1258371985750273,0.04495414384640753,1.33939002931118,0.9280095416307449,400,63
10,8,1.113124014735222,0.39016860984265805,1.3939827819168569,0.5368501760065556,400,63
10,9,0.83058868072927,0.2940695641934872,1.1598383426666259,0.6377244474738837,400,63
10,10,0.5801256968826055,0.2027924497425556,1.3411009015142918,0.8099560806900263,400,63
10,11,1.23155732691288,0.4368319374322891,1.4600820476561784,0.42653221569955346,400,63
11,0,2.045199566334486,0.7065681596845388,2.1673530587553977,0.2513532428443432,400,63
11,1,1.3979662750661372,0.4905385138094425,1.5995113949477673,0.3847250577621162,400,63
11,2,0.904990020468831,0.3164543130621314,1.6451427234709264,0.6972791175544262,400,63
11,3,1.4654381102323533,0.519281889796257,1.8313680958747864,0.4244054020382464,400,63
11,4,1.4800118307769299,0.5132342648506164,1.4448139825463295,0.20929743158631026,400,63
11,5,1.2537295410782099,0.4371792349219322,1.205058611407876,0.18776050345040857,400,63
11,6,1.1287946131080389,0.39547794926911595,1.532207480892539,0.5341041138023138,400,63
11,7,1.3434406095743179,0.4722095724195242,1.4762830549478532,0.3438708817586303,400,63
11,8,0.8639511405676603,0.29846002120524645,0.865292237624526,0.062171846353448926,400,63
11,9,1.217872853577137,0.42806127563118934,1.3092673449218273,0.3584540006238967,400,63
11,10,1.028290818333626,0.3616131890565157,1.0087925927527248,0.3121168139949441,400,63
11,11,1.3369547265768051,0.46975656066089866,1.556788281649351,0.39593721805140375,400,63
