relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_det_to_noun,19,17,0.16467915956842702,290,1761,0.1751269035532995,69,394,0.1834862385321101,80,436
object_det_to_noun,19,18,0.030664395229982964,54,1761,0.030456852791878174,12,394,0.03211009174311927,14,436
object_det_to_noun,19,19,0.028960817717206135,51,1761,0.030456852791878174,12,394,0.02522935779816514,11,436
object_det_to_noun,19,20,0.0817717206132879,144,1761,0.07360406091370558,29,394,0.06651376146788991,29,436
object_det_to_noun,19,21,0.0817717206132879,144,1761,0.07868020304568528,31,394,0.08486238532110092,37,436
object_det_to_noun,19,22,0.08517887563884156,150,1761,0.08883248730964467,35,394,0.11467889908256881,50,436
object_det_to_noun,19,23,0.0817717206132879,144,1761,0.08629441624365482,34,394,0.06880733944954129,30,436
object_det_to_noun,19,24,0.05281090289608177,93,1761,0.04568527918781726,18,394,0.052752293577981654,23,436
object_det_to_noun,19,25,0.07950028392958547,140,1761,0.07106598984771574,28,394,0.0871559633027523,38,436
object_det_to_noun,19,26,0.0653038046564452,115,1761,0.04314720812182741,17,394,0.07339449541284404,32,436
object_det_to_noun,19,27,0.044860874503123226,79,1761,0.04060913705583756,16,394,0.04128440366972477,18,436
object_det_to_noun,20,0,0.015332197614991482,27,1761,0.01015228426395939,4,394,0.022935779816513763,10,436
object_det_to_noun,20,1,0.028960817717206135,51,1761,0.027918781725888325,11,394,0.02981651376146789,13,436
object_det_to_noun,20,2,0.25326519023282223,446,1761,0.22842639593908629,90,394,0.2545871559633027,111,436
object_det_to_noun,20,3,0.01249290176036343,22,1761,0.0025380710659898475,1,394,0.011467889908256881,5,436
object_det_to_noun,20,4,0.10221465076660988,180,1761,0.09898477157360407,39,394,0.13302752293577982,58,436
object_det_to_noun,20,5,0.26519023282226006,467,1761,0.30710659898477155,121,394,0.28440366972477066,124,436
object_det_to_noun,20,6,0.030096536059057353,53,1761,0.04314720812182741,17,394,0.0389908256880734,17,436
object_det_to_noun,20,7,0.11811470755252697,208,1761,0.12690355329949238,50,394,0.13990825688073394,61,436
object_det_to_noun,20,8,0.09085746734809767,160,1761,0.1065989847715736,42,394,0.08944954128440367,39,436
object_det_to_noun,20,9,0.29982964224872233,528,1761,0.3248730964467005,128,394,0.3073394495412844,134,436
object_det_to_noun,20,10,0.039750141964792735,70,1761,0.025380710659898477,10,394,0.02522935779816514,11,436
object_det_to_noun,20,11,0.02441794434980125,43,1761,0.025380710659898477,10,394,0.045871559633027525,20,436
object_det_to_noun,20,12,0.05394662123793299,95,1761,0.04060913705583756,16,394,0.06422018348623854,28,436
object_det_to_noun,20,13,0.3145939806927882,554,1761,0.3299492385786802,130,394,0.3440366972477064,150,436
object_det_to_noun,20,14,0.2629187961385576,463,1761,0.2639593908629442,104,394,0.23853211009174313,104,436
object_det_to_noun,20,15,0.07325383304940375,129,1761,0.06345177664974619,25,394,0.08027522935779817,35,436
object_det_to_noun,20,16,0.2021578648495173,356,1761,0.2233502538071066,88,394,0.21559633027522937,94,436
object_det_to_noun,20,17,0.2680295286768881,472,1761,0.30710659898477155,121,394,0.30963302752293576,135,436
object_det_to_noun,20,18,0.19761499148211242,348,1761,0.19543147208121828,77,394,0.20642201834862386,90,436
object_det_to_noun,20,19,0.07211811470755253,127,1761,0.07360406091370558,29,394,0.11238532110091744,49,436
object_det_to_noun,20,20,0.02328222600795003,41,1761,0.02284263959390863,9,394,0.013761467889908258,6,436
object_det_to_noun,20,21,0.11641113003975014,205,1761,0.1218274111675127,48,394,0.13073394495412843,57,436
object_det_to_noun,20,22,0.3333333333333333,587,1761,0.3248730964467005,128,394,0.3440366972477064,150,436
object_det_to_noun,20,23,0.11186825667234526,197,1761,0.09644670050761421,38,394,0.11926605504587157,52,436
object_det_to_noun,20,24,0.032935831913685404,58,1761,0.030456852791878174,12,394,0.034403669724770644,15,436
object_det_to_noun,20,25,0.07552526973310619,133,1761,0.06852791878172589,27,394,0.0871559633027523,38,436
object_det_to_noun,20,26,0.04599659284497445,81,1761,0.027918781725888325,11,394,0.03669724770642202,16,436
object_det_to_noun,20,27,0.09937535491198182,175,1761,0.10406091370558376,41,394,0.09862385321100918,43,436
object_det_to_noun,21,0,0.26462237365133445,466,1761,0.233502538071066,92,394,0.25,109,436
object_det_to_noun,21,1,0.059057353776263484,104,1761,0.0532994923857868,21,394,0.06422018348623854,28,436
object_det_to_noun,21,2,0.07268597387847814,128,1761,0.0583756345177665,23,394,0.0779816513761468,34,436
object_det_to_noun,21,3,0.06871095968199886,121,1761,0.04060913705583756,16,394,0.08256880733944955,36,436
object_det_to_noun,21,4,0.17773992049971607,313,1761,0.18274111675126903,72,394,0.17889908256880735,78,436
object_det_to_noun,21,5,0.26007950028392957,458,1761,0.24873096446700507,98,394,0.2706422018348624,118,436
object_det_to_noun,21,6,0.13287904599659284,234,1761,0.1218274111675127,48,394,0.12844036697247707,56,436
object_det_to_noun,21,7,0.01249290176036343,22,1761,0.017766497461928935,7,394,0.01834862385321101,8,436
object_det_to_noun,21,8,0.02328222600795003,41,1761,0.02030456852791878,8,394,0.006880733944954129,3,436
