treebank,timestep,normalized_progress,depth,position_state,top1,top5,mrr,mean_rank,n_positions,n_seeds
UD_English-EWT,16,0.25,16,masked,0.00398844272980113,0.012164067585361876,0.00980737149185045,8649.202302946473,28584,3
UD_English-EWT,16,0.25,16,visible,0.009902819945482111,0.02717378476448624,0.01946086396670284,12117.744013938494,19860,3
UD_English-EWT,16,0.25,17,masked,0.007467154509976208,0.02454774778482637,0.018246615566935295,7404.085078664582,28584,3
UD_English-EWT,16,0.25,17,visible,0.013289007256936844,0.03861804684884592,0.027661652232397513,9263.41954459942,19860,3
UD_English-EWT,16,0.25,18,masked,0.009369313099629621,0.03041287188687672,0.022795669235381667,6932.42452952572,28584,3
UD_English-EWT,16,0.25,18,visible,0.013579534234841489,0.04614368453770562,0.03171728776337315,7939.372612535095,19860,3
UD_English-EWT,16,0.25,19,masked,0.010522076691654683,0.03566376611590277,0.0265928899628546,6486.745259172738,28584,3
UD_English-EWT,16,0.25,19,visible,0.01628021923733734,0.05310251901300791,0.036771395259672546,8068.719118164231,19860,3
UD_English-EWT,16,0.25,20,masked,0.010812678207014495,0.03785919669404109,0.027868632631693008,6550.956507393206,28584,3
UD_English-EWT,16,0.25,20,visible,0.018237113560413017,0.05997210044815864,0.04105798694536333,7525.8007232406335,19860,3
UD_English-EWT,16,0.25,21,masked,0.01108245001956247,0.0413815449213071,0.03010944752775947,5843.257277119262,28584,3
UD_English-EWT,16,0.25,21,visible,0.024838571644167903,0.08336875823233635,0.055602794334543404,6536.710322768457,19860,3
UD_English-EWT,16,0.25,22,masked,0.011903848987063073,0.041665631072332766,0.031725982129328985,5629.231498598743,28584,3
UD_English-EWT,16,0.25,22,visible,0.024418270244977766,0.08206509551189951,0.05502616435976467,6646.522692326638,19860,3
UD_English-EWT,16,0.25,23,masked,0.012646982387511045,0.04800195382346554,0.03536459255776102,5175.914498025138,28584,3
UD_English-EWT,16,0.25,23,visible,0.024582171286678015,0.08490010724794868,0.05632319382368617,6208.258706933684,19860,3
UD_English-EWT,16,0.25,24,masked,0.014878195118333453,0.05205112403457627,0.03886134602696948,5185.22117092566,28584,3
UD_English-EWT,16,0.25,24,visible,0.019921274826198206,0.07365901894342021,0.04871579252332559,6773.603628486083,19860,3
UD_English-EWT,16,0.25,25,masked,0.015068459075941405,0.05791060768338993,0.041400945201195,4908.865067596904,28584,3
UD_English-EWT,16,0.25,25,visible,0.01618618784146395,0.06739569557542845,0.044100388723365275,6503.569177200613,19860,3
UD_English-EWT,16,0.25,26,masked,0.01661313329436091,0.06281754622372732,0.04492514319604191,4738.106161825458,28584,3
UD_English-EWT,16,0.25,26,visible,0.013838100874793681,0.05685757966646202,0.038742097112062536,6408.203593149607,19860,3
UD_English-EWT,16,0.25,27,masked,0.017681425042416248,0.07275659996816358,0.05014644320367915,3967.932505541492,28584,3
UD_English-EWT,16,0.25,27,visible,0.010114328725040813,0.04923095247790141,0.03375728460194204,5481.523966249501,19860,3
UD_English-EWT,16,0.25,28,masked,0.021181807501598898,0.0896245068853675,0.06065620143811163,3552.688793800439,28584,3
UD_English-EWT,16,0.25,28,visible,0.007039850306283357,0.03950651035982542,0.0281653252604215,4978.448512398921,19860,3
UD_English-EWT,16,0.25,29,masked,0.021195387086496726,0.10010549441298962,0.06544844700501895,2991.3376342578135,28584,3
UD_English-EWT,16,0.25,29,visible,0.007051559834545921,0.03409474315931168,0.02689930802419566,4437.352349537353,19860,3
UD_English-EWT,16,0.25,30,masked,0.02267036043137914,0.10675714417585568,0.07086338973485051,2514.4945379832684,28584,3
UD_English-EWT,16,0.25,30,visible,0.008135101634726532,0.03398589767807803,0.02756921615080687,3962.5626073458893,19860,3
UD_English-EWT,16,0.25,31,masked,0.032433701356388046,0.14711128584174907,0.09477507807766923,1563.8215850276436,28584,3
UD_English-EWT,16,0.25,31,visible,0.0065709455009725845,0.029198078378669643,0.024584045274906475,4300.76147796354,19860,3
UD_English-EWT,16,0.25,32,masked,0.048100937677104126,0.17799513357634658,0.11679304680010083,752.8247105364339,28584,3
UD_English-EWT,16,0.25,32,visible,0.0060641448534308065,0.02214820580839126,0.019552062726564946,4055.302376086496,19860,3
UD_English-EWT,32,0.5,0,masked,0.0,5.121114354483536e-05,0.00022099565052170812,14368.959416218657,18932,3
UD_English-EWT,32,0.5,0,visible,6.626138925348922e-05,0.00027588194775148765,0.00039885193403132053,25390.369505834078,29512,3
UD_English-EWT,32,0.5,1,masked,0.0,5.121114354483536e-05,0.0009602572273271956,7891.703668281144,18932,3
UD_English-EWT,32,0.5,1,visible,0.00010084312318162836,0.009811914894273107,0.0067562237215845165,18724.03284478887,29512,3
UD_English-EWT,32,0.5,2,masked,0.0002165799396766552,0.0014172649553744665,0.003101165778993499,7114.4920567949675,18932,3
UD_English-EWT,32,0.5,2,visible,3.564681139272092e-05,0.00047389419183832977,0.0005661036444594556,16545.013944468647,29512,3
UD_English-EWT,32,0.5,3,masked,0.00020050477446155045,0.001466306199060406,0.002005575726532339,8175.756863232625,18932,3
UD_English-EWT,32,0.5,3,visible,0.00010190820064621014,0.0011487027063662907,0.0009766685035216423,17217.701697803528,29512,3
UD_English-EWT,32,0.5,4,masked,0.00041925461399710114,0.0014582686164528538,0.002044933200517296,9068.08491027812,18932,3
UD_English-EWT,32,0.5,4,visible,0.0007273890276547471,0.003362198697651309,0.0026740683040454975,15039.050207805813,29512,3
UD_English-EWT,32,0.5,5,masked,0.0013207103510334524,0.0033716399602227803,0.0031890758914546492,10302.972136641194,18932,3
UD_English-EWT,32,0.5,5,visible,0.0024231165497830168,0.008187052169533237,0.006061267539535329,13247.44071113498,29512,3
UD_English-EWT,32,0.5,6,masked,0.001812233090336314,0.004297138326919578,0.004406471680752537,9849.231216668066,18932,3
UD_English-EWT,32,0.5,6,visible,0.0043586004383873835,0.012068212436683974,0.009241796902602182,11201.450962627561,29512,3
UD_English-EWT,32,0.5,7,masked,0.002374271635673444,0.007031242119225139,0.0059505652012198955,9346.077680948663,18932,3
UD_English-EWT,32,0.5,7,visible,0.005562434989478677,0.0147082399563042,0.011079540056646209,10482.79806997731,29512,3
UD_English-EWT,32,0.5,8,masked,0.002670688997647979,0.007081342960326511,0.00581756890857132,10176.406366852503,18932,3
UD_English-EWT,32,0.5,8,visible,0.006398250705445221,0.01705154226358512,0.012615416467028231,10779.66322310459,29512,3
UD_English-EWT,32,0.5,9,masked,0.0019200547745592085,0.005661092357052523,0.004661220875335918,10365.514236047171,18932,3
UD_English-EWT,32,0.5,9,visible,0.00629456309687442,0.016038322007542214,0.012183416799785032,10231.205646859065,29512,3
UD_English-EWT,32,0.5,10,masked,0.001680889970090762,0.005991117814325923,0.005248272463119337,9354.767679304898,18932,3
UD_English-EWT,32,0.5,10,visible,0.006452668219710214,0.016945010169625147,0.012756730325862534,9298.087416636852,29512,3
UD_English-EWT,32,0.5,11,masked,0.0019916808830369396,0.007133908255689617,0.00575378952789372,9549.95431885831,18932,3
