layer,head,entropy,entropy_norm,entropy_no_sink,sink_mass,n_sentences,diffusion_time
4,4,2.271912839412689,0.7885118371993304,2.206391829401255,0.12228516592178494,400,63
4,5,2.144262171089649,0.7468363448977471,2.070771036595106,0.10960119121242315,400,63
4,6,2.274001526236534,0.7887228716909885,2.3179543939232827,0.2657232204824686,400,63
4,7,0.8562878180854022,0.29232374554034324,0.8718162290845066,0.29543723774608227,400,63
4,8,0.5740088034700602,0.2016312358668074,0.47147418673150243,0.10839595931869553,400,63
4,9,0.670200376957655,0.23377085556276142,0.49399186311289667,0.20423972568823956,400,63
4,10,0.8409376911073924,0.288119127638638,0.7779244266077876,0.057195872456941285,400,63
4,11,0.9519931171834469,0.3278521946258843,0.8174963187240064,0.3775284067960456,400,63
4,12,0.8595964913442731,0.3005752132087946,0.7308375563472509,0.11690426303888671,400,63
4,13,0.8004634133167565,0.27744720979593696,0.6826572667714208,0.20075068633668708,400,63
4,14,2.282834744155407,0.793231344372034,2.2657339015603064,0.20349352046847344,400,63
4,15,2.169335197210312,0.7542679226398468,2.09607580691576,0.07048316705040633,400,63
4,16,2.0770252656936647,0.720032766982913,2.039017452299595,0.16654959792271257,400,63
4,17,1.966140213161707,0.6804079608619213,1.8897757697105408,0.1372033275803551,400,63
4,18,1.8679146373271942,0.6593438627570868,1.7909976609051228,0.10762271982152015,400,63
4,19,2.220424563586712,0.7757135079801083,2.1624045573174953,0.053918960132286885,400,63
4,20,1.728862330019474,0.6048228321224451,1.6688807420432568,0.18311052271863446,400,63
4,21,2.179228649139404,0.7592471496760845,2.106911411434412,0.12194964739028365,400,63
4,22,2.0401744082570077,0.7110026047378778,1.9664600905776024,0.11514893208630383,400,63
4,23,1.2167542508244515,0.42564287573099135,1.1685757244378328,0.13863105036551132,400,63
4,24,1.8301229721307755,0.6412722189724446,1.765213412642479,0.071512269906234,400,63
4,25,1.716236163675785,0.6044150764495134,1.641777880936861,0.08457747779088094,400,63
4,26,1.8441192270815372,0.6396796435117722,1.788832098916173,0.15268978653592058,400,63
4,27,1.8919672234356404,0.6605030985176563,1.8291847521066666,0.11982845011516474,400,63
5,0,1.3741165347769857,0.4940971485944465,1.3647971989773213,0.19528959928575204,400,63
5,1,1.629406208768487,0.5663282074406744,1.6966857277601957,0.29979468493256717,400,63
5,2,2.0852373519539835,0.7332793866097927,2.0183885139226914,0.12338849057210609,400,63
5,3,1.8450554454326629,0.6507964282482862,1.8002386383712292,0.12629812271799892,400,63
5,4,1.772488888502121,0.6213136706128717,1.9128544206172229,0.3200722416304052,400,63
5,5,1.654618000909686,0.588728992883116,1.593149823769927,0.04824234884534235,400,63
5,6,1.854040255919099,0.6583084990642964,1.8035184005647897,0.12801594810764072,400,63
5,7,2.186178211197257,0.7732411540672183,2.1362806010991333,0.02686239419534104,400,63
5,8,2.0981110928952695,0.7458478849753738,2.04780497841537,0.11558489040238783,400,63
5,9,2.2935810592770576,0.8015040796250105,2.272675229161978,0.1866700087254867,400,63
5,10,2.0341622579097747,0.7239097192883491,1.9699386537075043,0.043332820869400164,400,63
5,11,1.8593542574346065,0.6507767134159803,1.8001114577054977,0.03585355249757413,400,63
5,12,2.4899971912801266,0.8692655571550131,2.4188914041221143,0.05357530600973405,400,63
5,13,1.7402617746591569,0.6111932074278593,1.672536887973547,0.11054203784093261,400,63
5,14,1.600839134939015,0.5752370882034302,1.5521672816202043,0.050222733160480856,400,63
5,15,1.6242989153414964,0.5801250052265823,1.5675690138153733,0.058180365756270475,400,63
5,16,1.7156692188978195,0.6159928811714053,1.662930427491665,0.09516768819186837,400,63
5,17,1.8956333882361651,0.6700704469159245,1.8483868551254272,0.03138979628565721,400,63
5,18,0.5173121510446071,0.17952713672071696,0.48141961999237537,0.014373120819218457,400,63
5,19,0.8885660294443369,0.3138298949971795,0.837530669271946,0.02988457067127456,400,63
5,20,1.0211095668189227,0.3635618382319808,0.944516490418464,0.05757627862432855,400,63
5,21,0.9861238143220544,0.3466310936026275,0.9844170067086816,0.03740339940228296,400,63
5,22,1.5778724651038647,0.5549553450569511,1.6295733126997947,0.24838150766678155,400,63
5,23,1.694611625224352,0.6039885291457177,1.6627130933851004,0.13014023565454408,400,63
5,24,1.7486153983324766,0.6235833261162043,1.6970557240024209,0.12603249080944806,400,63
5,25,1.306100480221212,0.4635514882020652,1.2625110464170575,0.19964724501303863,400,63
5,26,1.056255697319284,0.3746813132986426,1.0099979160167276,0.16827362737996737,400,63
5,27,1.533419252410531,0.5412874618172645,1.6259533915668727,0.2596623042935971,400,63
6,0,0.970262605175376,0.349442639760673,0.9641318441182375,0.08611578671756433,400,63
