treebank,timestep,normalized_progress,layer,head,entropy_mean,entropy_normalized,entropy_no_bos,bos_sink_mass,n_seeds
UD_English-EWT,0,0.0,4,7,1.099213061844065,0.43299073536620764,2.330805999985158,0.6584507651382783,3
UD_English-EWT,0,0.0,4,8,0.7609484762950837,0.3235338305866173,2.244104088981295,0.7413182861370141,3
UD_English-EWT,0,0.0,4,9,1.2242848825910704,0.4611682205211595,1.9107734121260096,0.6395855575514947,3
UD_English-EWT,0,0.0,4,10,0.7300206423111137,0.3110225929247592,1.696449252751356,0.7619215998330403,3
UD_English-EWT,0,0.0,4,11,0.7574843118791698,0.3211540352283402,1.804033108096305,0.7515715977655408,3
UD_English-EWT,0,0.0,4,12,0.8513358710079245,0.35079869027427635,2.5989308880000817,0.7369752541754414,3
UD_English-EWT,0,0.0,4,13,0.7156475451596774,0.30757469566325185,2.5398792839441144,0.7500513923339179,3
UD_English-EWT,0,0.0,4,14,0.6580915975338612,0.28504071289754873,2.6143454744841885,0.788347266349799,3
UD_English-EWT,0,0.0,4,15,0.6664500149231547,0.2892475772453116,1.7903194582201742,0.7799505329604357,3
UD_English-EWT,0,0.0,4,16,0.63494334154116,0.2762371108147107,2.3837610400113904,0.7967790805332647,3
UD_English-EWT,0,0.0,4,17,0.5674985945275653,0.2512499384742352,2.496914300517958,0.8207314217595455,3
UD_English-EWT,0,0.0,4,18,0.7862414150941567,0.3305193750096149,1.8391510323097144,0.7424521142504906,3
UD_English-EWT,0,0.0,4,19,0.8047388159552883,0.3356507808489145,2.004039209885675,0.7408090301998,3
UD_English-EWT,0,0.0,4,20,0.5637661464654845,0.2506586429103191,2.527639136044054,0.8187603532779412,3
UD_English-EWT,0,0.0,4,21,0.49793317142359994,0.2244757217561185,2.5357125452795968,0.8461059193874969,3
UD_English-EWT,0,0.0,4,22,0.8377548668716774,0.3453492056171263,1.9368603350034828,0.734354134771179,3
UD_English-EWT,0,0.0,4,23,0.6157822143032007,0.2708747617829123,2.5075659299157356,0.7987533048446712,3
UD_English-EWT,0,0.0,4,24,0.6929138659657351,0.2983587116226961,1.8332977824198091,0.7715001160614804,3
UD_English-EWT,0,0.0,4,25,0.7329014094923038,0.3124505854059072,1.8368896965772077,0.7578932582884214,3
UD_English-EWT,0,0.0,4,26,1.2764170571265976,0.4821731721768614,2.0438535011531225,0.619627616363145,3
UD_English-EWT,0,0.0,4,27,0.7355376098284631,0.31349277663517927,1.7765200263489789,0.7566785724640218,3
UD_English-EWT,0,0.0,4,28,0.7464169217222701,0.3171565228375947,1.7833869043595152,0.753708747790648,3
UD_English-EWT,0,0.0,4,29,0.575498563372352,0.2555278918147342,2.461593606921493,0.8149382770061493,3
UD_English-EWT,0,0.0,4,30,0.649507745479544,0.2826317307218665,2.1913738535727307,0.7895895389666974,3
UD_English-EWT,0,0.0,4,31,0.6840844829846683,0.2950298757091307,2.17724776447145,0.773370941642855,3
UD_English-EWT,0,0.0,5,0,1.6017725513281065,0.5844284348556252,1.9834075949556838,0.4988403382807807,3
UD_English-EWT,0,0.0,5,1,0.7024780019018494,0.29790924236565175,2.5241985448071214,0.7745860453511848,3
UD_English-EWT,0,0.0,5,2,0.8638951259314037,0.3411865593875692,2.238687428783198,0.757567336569067,3
UD_English-EWT,0,0.0,5,3,0.7669250174257599,0.3226115801804216,2.501233713385837,0.7464409326635749,3
UD_English-EWT,0,0.0,5,4,0.7313683137623338,0.3027782451890694,2.37856287154995,0.7807649609739663,3
UD_English-EWT,0,0.0,5,5,0.5911175401911872,0.2587735485043784,2.55754053364686,0.8048103310249216,3
UD_English-EWT,0,0.0,5,6,0.5273051538346895,0.23362007674562638,2.5023875362723254,0.8307967771435044,3
UD_English-EWT,0,0.0,5,7,1.3473883653110494,0.4986719952824989,1.9220249389038713,0.5992322283405098,3
UD_English-EWT,0,0.0,5,8,0.8535480936124026,0.34615167620199944,2.0822912420405717,0.7482578593402938,3
UD_English-EWT,0,0.0,5,9,0.9758076868910607,0.39019110596285816,1.8884308751815004,0.6998703317930465,3
UD_English-EWT,0,0.0,5,10,0.9621320208483707,0.3854386442508854,2.1356762160694664,0.6968970552412538,3
UD_English-EWT,0,0.0,5,11,0.7648156462389913,0.31377282552421093,2.2615855199391723,0.777495877420316,3
UD_English-EWT,0,0.0,5,12,0.4178553187273077,0.19286954672587273,2.5168315107053747,0.8693006007316334,3
UD_English-EWT,0,0.0,5,13,1.0691118075466546,0.4061592867994895,2.0090277489742947,0.680977948172822,3
UD_English-EWT,0,0.0,5,14,0.6737427959127015,0.28894297461040686,2.351422102073503,0.779290963269648,3
UD_English-EWT,0,0.0,5,15,0.8150517769320741,0.3361345978728572,0.7400190969267504,0.08405031012994608,3
UD_English-EWT,0,0.0,5,16,0.9597035905376808,0.3862575182202654,1.7244195858311784,0.6979486831753957,3
UD_English-EWT,0,0.0,5,17,0.8141118239998167,0.3321629090774092,2.085924420688973,0.7612465640397671,3
UD_English-EWT,0,0.0,5,18,0.7515671058084633,0.31717134052073287,1.6844762540905853,0.7500674499432898,3
