treebank,relation,layer,head,timestep,normalized_progress,visibility,accuracy_mean,accuracy_std,n_instances,n_seeds
UD_English-EWT,subject_det_to_noun,0,3,32,0.5,both_masked,0.6359374713654773,0.06256268783076425,227,3
UD_English-EWT,subject_det_to_noun,0,3,32,0.5,both_visible,0.5861952861952862,0.17761796459289003,99,3
UD_English-EWT,subject_det_to_noun,0,3,32,0.5,receiver_visible_only,0.7361976274405654,0.07961743795892658,165,3
UD_English-EWT,subject_det_to_noun,0,3,39,0.625,attender_visible_only,0.621804974641854,0.05581635731900658,153,3
UD_English-EWT,subject_det_to_noun,0,3,39,0.625,both_masked,0.6126207126207126,0.060288392896203497,159,3
UD_English-EWT,subject_det_to_noun,0,3,39,0.625,both_visible,0.6246565934065934,0.0570366316465896,155,3
UD_English-EWT,subject_det_to_noun,0,3,39,0.625,receiver_visible_only,0.7138688472021806,0.07739094953135982,172,3
UD_English-EWT,subject_det_to_noun,0,3,47,0.75,attender_visible_only,0.605398569684284,0.031145515214011696,136,3
UD_English-EWT,subject_det_to_noun,0,3,47,0.75,both_masked,0.6273148148148148,0.08682870061810671,83,3
UD_English-EWT,subject_det_to_noun,0,3,47,0.75,both_visible,0.6351328288871823,0.07551052692193766,269,3
UD_English-EWT,subject_det_to_noun,0,3,47,0.75,receiver_visible_only,0.7206775067750678,0.12055998664409405,151,3
UD_English-EWT,subject_det_to_noun,0,3,55,0.875,attender_visible_only,0.6314496314496315,0.031475641032883896,94,3
UD_English-EWT,subject_det_to_noun,0,3,55,0.875,both_masked,0.5476190476190476,0.18595832561682513,23,3
UD_English-EWT,subject_det_to_noun,0,3,55,0.875,both_visible,0.642602495543672,0.020916277544922153,424,3
UD_English-EWT,subject_det_to_noun,0,3,55,0.875,receiver_visible_only,0.7281045751633987,0.14058062348925598,98,3
UD_English-EWT,subject_det_to_noun,0,3,63,1.0,both_visible,0.6525821596244131,0.0,639,3
UD_English-EWT,subject_to_verb,2,2,0,0.0,both_masked,0.41966173361522197,0.0,2838,3
UD_English-EWT,subject_to_verb,2,2,8,0.125,attender_visible_only,0.36096594777656926,0.1576036088691695,206,3
UD_English-EWT,subject_to_verb,2,2,8,0.125,both_masked,0.41467938394329273,0.008779359274577798,2360,3
UD_English-EWT,subject_to_verb,2,2,8,0.125,both_visible,0.3684210526315789,,38,1
UD_English-EWT,subject_to_verb,2,2,8,0.125,receiver_visible_only,0.44986085562001793,0.06355791142494265,234,3
UD_English-EWT,subject_to_verb,2,2,16,0.25,attender_visible_only,0.3923297981022939,0.06042000569865749,369,3
UD_English-EWT,subject_to_verb,2,2,16,0.25,both_masked,0.4220658972235174,0.017722758008006868,1949,3
UD_English-EWT,subject_to_verb,2,2,16,0.25,both_visible,0.3278445334520101,0.03967165486586492,123,3
UD_English-EWT,subject_to_verb,2,2,16,0.25,receiver_visible_only,0.3681080701014256,0.09832435560594094,397,3
UD_English-EWT,subject_to_verb,2,2,24,0.375,attender_visible_only,0.4019696611505122,0.0507374265141683,504,3
UD_English-EWT,subject_to_verb,2,2,24,0.375,both_masked,0.416745380684204,0.03192749778479671,1547,3
UD_English-EWT,subject_to_verb,2,2,24,0.375,both_visible,0.3485203953953954,0.08167359087927785,265,3
UD_English-EWT,subject_to_verb,2,2,24,0.375,receiver_visible_only,0.4114417468524923,0.028565449416219434,522,3
UD_English-EWT,subject_to_verb,2,2,32,0.5,attender_visible_only,0.4468018594374968,0.02601850149442575,624,3
UD_English-EWT,subject_to_verb,2,2,32,0.5,both_masked,0.3872201890151456,0.05063055692147858,1054,3
UD_English-EWT,subject_to_verb,2,2,32,0.5,both_visible,0.37407570479532765,0.06734397629692211,479,3
UD_English-EWT,subject_to_verb,2,2,32,0.5,receiver_visible_only,0.43219292629455025,0.042180056857021614,681,3
UD_English-EWT,subject_to_verb,2,2,39,0.625,attender_visible_only,0.4746415163935421,0.02398153315054807,638,3
UD_English-EWT,subject_to_verb,2,2,39,0.625,both_masked,0.36899573779531475,0.05797956374612347,701,3
UD_English-EWT,subject_to_verb,2,2,39,0.625,both_visible,0.36929575800543546,0.05331644101944313,763,3
UD_English-EWT,subject_to_verb,2,2,39,0.625,receiver_visible_only,0.44010430304617265,0.034166753110359493,736,3
UD_English-EWT,subject_to_verb,2,2,47,0.75,attender_visible_only,0.4500663220326193,0.06208494801316677,593,3
UD_English-EWT,subject_to_verb,2,2,47,0.75,both_masked,0.34753234856292226,0.08533519071558629,358,3
UD_English-EWT,subject_to_verb,2,2,47,0.75,both_visible,0.4068622744129355,0.023525891112375005,1205,3
UD_English-EWT,subject_to_verb,2,2,47,0.75,receiver_visible_only,0.4374029519055905,0.021870044314191955,682,3
UD_English-EWT,subject_to_verb,2,2,55,0.875,attender_visible_only,0.43899368596657357,0.065753641335197,401,3
UD_English-EWT,subject_to_verb,2,2,55,0.875,both_masked,0.3715930816771153,0.14429212996455035,92,3
UD_English-EWT,subject_to_verb,2,2,55,0.875,both_visible,0.4095802557657888,0.018221107713844307,1868,3
UD_English-EWT,subject_to_verb,2,2,55,0.875,receiver_visible_only,0.43390820176791517,0.026758101561549914,477,3
UD_English-EWT,subject_to_verb,2,2,63,1.0,both_visible,0.41966173361522197,0.0,2838,3
