treebank,relation,layer,head,timestep,normalized_progress,visibility,accuracy_mean,accuracy_std,n_instances,n_seeds
UD_English-EWT,subject_to_verb,17,15,39,0.625,attender_visible_only,0.041852077136813666,0.010999531479374894,734,3
UD_English-EWT,subject_to_verb,17,15,39,0.625,both_masked,0.02085476079164719,0.019629834087188935,351,3
UD_English-EWT,subject_to_verb,17,15,39,0.625,both_visible,0.14700037716690884,0.042447302946685174,1287,3
UD_English-EWT,subject_to_verb,17,15,39,0.625,receiver_visible_only,0.03732015679025398,0.00855312684685866,466,3
UD_English-EWT,subject_to_verb,17,15,47,0.75,attender_visible_only,0.0498893799510336,0.031585162135675846,588,3
UD_English-EWT,subject_to_verb,17,15,47,0.75,both_masked,0.04771241830065359,0.05525485711986627,183,3
UD_English-EWT,subject_to_verb,17,15,47,0.75,both_visible,0.13452687792472645,0.05867822265336559,1648,3
UD_English-EWT,subject_to_verb,17,15,47,0.75,receiver_visible_only,0.0278491115700418,0.011289081365378137,419,3
UD_English-EWT,subject_to_verb,17,15,55,0.875,attender_visible_only,0.041182532834819284,0.032746428814319786,385,3
UD_English-EWT,subject_to_verb,17,15,55,0.875,both_masked,0.08898809523809524,0.09616503892207581,65,3
UD_English-EWT,subject_to_verb,17,15,55,0.875,both_visible,0.09904214297806975,0.002711979315029869,2094,3
UD_English-EWT,subject_to_verb,17,15,55,0.875,receiver_visible_only,0.03191058290888512,0.007742692255430434,294,3
UD_English-EWT,subject_to_verb,17,15,63,1.0,both_visible,0.1099365750528541,0.0,2838,3
